               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.058738,            0.050914,                   0,             0.69234,             0.88235,             0.85311,             0.45843,             0.04898,            0.014331,                   0,            0.065752,           0.0037523,           0.0037523
                  39,            0.058527,            0.028083,                   0,             0.64571,             0.85829,             0.79966,             0.25936,            0.061175,            0.014354,                   0,             0.06485,           0.0038498,           0.0038498
                  40,              0.0611,            0.034476,                   0,             0.57273,             0.70588,               0.737,              0.4373,            0.050445,            0.013557,                   0,            0.063947,           0.0039472,           0.0039472
                  41,            0.059164,            0.033801,                   0,             0.62685,             0.88235,             0.78215,             0.41951,              0.0591,            0.012803,                   0,            0.063045,           0.0040445,           0.0040445
                  42,            0.057098,            0.037805,                   0,             0.63454,             0.81734,             0.77667,             0.37864,            0.056159,            0.012724,                   0,            0.062142,           0.0041418,           0.0041418
                  43,            0.061365,            0.030338,                   0,             0.58467,             0.88235,             0.74406,             0.35857,            0.059776,            0.011992,                   0,            0.061239,            0.004239,            0.004239
                  44,            0.051676,            0.026759,                   0,             0.51635,             0.88235,             0.76761,             0.35223,             0.05199,            0.011729,                   0,            0.060336,           0.0043361,           0.0043361
                  45,            0.059444,            0.023811,                   0,             0.51371,             0.88235,             0.76926,             0.34447,            0.052059,            0.011445,                   0,            0.059433,           0.0044332,           0.0044332
                  46,            0.060589,            0.029469,                   0,             0.58113,             0.88235,             0.72237,             0.28913,            0.057287,            0.010857,                   0,             0.05853,           0.0045302,           0.0045302
                  47,            0.051456,            0.031438,                   0,             0.86989,             0.78746,             0.89175,             0.38977,            0.045604,            0.010518,                   0,            0.057627,           0.0046271,           0.0046271
                  48,            0.060888,            0.028289,                   0,             0.54652,             0.76471,             0.70893,             0.30762,            0.062712,            0.010046,                   0,            0.056724,            0.004724,            0.004724
                  49,            0.058333,            0.026512,                   0,             0.62416,             0.88235,             0.73838,             0.36292,            0.049365,           0.0094755,                   0,            0.055821,           0.0048208,           0.0048208
                  50,             0.05411,            0.036084,                   0,             0.71591,             0.74198,             0.80382,             0.48182,            0.052589,           0.0090661,                   0,            0.054918,           0.0049175,           0.0049175
                  51,            0.057212,            0.033056,                   0,             0.87246,             0.88235,             0.92658,              0.5234,            0.045377,           0.0090232,                   0,            0.054014,           0.0050142,           0.0050142
                  52,            0.054611,            0.028852,                   0,             0.59126,             0.82353,             0.74236,             0.29213,            0.050124,           0.0089869,                   0,            0.053111,           0.0051108,           0.0051108
                  53,             0.05678,            0.024601,                   0,             0.78215,             0.76471,             0.86805,             0.41338,            0.055132,           0.0085995,                   0,            0.052207,           0.0052073,           0.0052073
                  54,            0.056841,            0.024796,                   0,             0.50153,             0.71039,             0.70217,             0.25873,            0.055078,           0.0086935,                   0,            0.051304,           0.0053038,           0.0053038
                  55,            0.056834,            0.025929,                   0,             0.85552,             0.76471,             0.89824,             0.46946,            0.053197,           0.0080411,                   0,              0.0504,           0.0054002,           0.0054002
                  56,            0.055499,            0.037366,                   0,              0.4797,             0.70588,             0.65048,             0.39418,            0.058074,           0.0084112,                   0,            0.049497,           0.0054965,           0.0054965
                  57,             0.05432,            0.022734,                   0,              0.8114,             0.75953,             0.83312,             0.34333,            0.050354,           0.0082915,                   0,            0.048593,           0.0055928,           0.0055928
                  58,             0.05427,            0.020217,                   0,             0.55112,             0.82353,             0.69231,             0.33585,             0.06315,           0.0080249,                   0,            0.047689,            0.005689,            0.005689
                  59,            0.056336,            0.031302,                   0,             0.86318,             0.82353,             0.84801,             0.42007,            0.057909,           0.0079803,                   0,            0.046785,           0.0057851,           0.0057851
                  60,            0.061636,            0.022588,                   0,             0.56413,             0.82353,             0.74213,             0.39096,            0.061315,           0.0077052,                   0,            0.045881,           0.0058812,           0.0058812
                  61,            0.050321,            0.017887,                   0,             0.80694,             0.94118,             0.94389,             0.42025,            0.051983,            0.007164,                   0,            0.044977,           0.0059772,           0.0059772
                  62,            0.053918,             0.02699,                   0,             0.49481,             0.86466,             0.72077,             0.40403,             0.05614,           0.0073798,                   0,            0.044073,           0.0060731,           0.0060731
                  63,             0.06085,            0.026832,                   0,             0.80595,             0.88235,             0.88819,             0.42818,            0.037669,           0.0071831,                   0,            0.043169,            0.006169,            0.006169
                  64,            0.052324,            0.025403,                   0,              0.4973,             0.93133,             0.67945,             0.34443,            0.058364,           0.0073829,                   0,            0.042265,           0.0062648,           0.0062648
                  65,            0.051193,            0.029076,                   0,             0.47507,             0.88235,             0.71171,              0.3396,            0.044355,           0.0071771,                   0,            0.041361,           0.0063606,           0.0063606
                  66,            0.053321,            0.026884,                   0,             0.55988,             0.82353,             0.75135,             0.43479,            0.050877,           0.0073349,                   0,            0.040456,           0.0064563,           0.0064563
                  67,            0.058735,            0.029068,                   0,             0.57315,             0.88235,             0.77751,             0.35675,             0.05786,           0.0072355,                   0,            0.039552,           0.0065519,           0.0065519
                  68,            0.049261,            0.022824,                   0,             0.62983,             0.82353,             0.73231,             0.31753,            0.062719,           0.0080714,                   0,            0.038647,           0.0066474,           0.0066474
                  69,            0.054304,            0.027148,                   0,             0.71057,             0.76471,             0.84875,             0.38494,            0.051271,           0.0076902,                   0,            0.037743,           0.0067429,           0.0067429
